moribundus: 10           (V: 5 L: 5)
centaurusN: 10           (V: 6 L: 4)
daresN: 10               (V: 10 L: 0)
ros: 10                  (V: 3 L: 7)
triuiaN: 10              (V: 9 L: 1)
pedes: 10                (V: 9 L: 1)
admisceo: 10             (V: 1 L: 9)
significo: 10            (V: 1 L: 9)
itaque: 10               (V: 0 L: 10)
infigo: 9                (V: 9 L: 0)
iliumN: 9                (V: 9 L: 0)
simoisN: 9               (V: 9 L: 0)
zephyrusN: 9             (V: 8 L: 1)
detrudo: 9               (V: 6 L: 3)
desuper: 9               (V: 9 L: 0)
optatus: 9               (V: 9 L: 0)
cloanthusN: 9            (V: 9 L: 0)
achiuiN: 9               (V: 9 L: 0)
ordior: 9                (V: 9 L: 0)
xanthusN: 9              (V: 9 L: 0)
refugio: 9               (V: 9 L: 0)
inclutus: 9              (V: 6 L: 3)
protraho: 9              (V: 2 L: 7)
socius2: 9               (V: 9 L: 0)
condensus: 9             (V: 2 L: 7)
circumsto: 9             (V: 8 L: 1)
uociferor: 9             (V: 5 L: 4)
uirgultum: 9             (V: 6 L: 3)
allabor2: 9              (V: 9 L: 0)
cacumen: 9               (V: 2 L: 7)
progredior: 9            (V: 6 L: 3)
auspicium: 9             (V: 9 L: 0)
uetustas: 9              (V: 3 L: 6)
ausoniaN: 9              (V: 9 L: 0)
quadrupes1: 9            (V: 4 L: 5)
tonitrus: 9              (V: 3 L: 6)
obnitor2: 9              (V: 7 L: 2)
cumulo: 9                (V: 5 L: 4)
exsoluo: 9               (V: 2 L: 7)
disN: 9                  (V: 9 L: 0)
saliusN: 9               (V: 9 L: 0)
regia: 9                 (V: 9 L: 0)
discordia: 9             (V: 5 L: 4)
pango: 9                 (V: 4 L: 5)
caula: 9                 (V: 1 L: 8)
muliebris: 9             (V: 1 L: 8)
incitus1: 9              (V: 2 L: 7)
clueo: 9                 (V: 0 L: 9)
cumprimis: 9             (V: 0 L: 9)
discidium: 9             (V: 0 L: 9)
anteactus: 9             (V: 0 L: 9)
quisquis2: 9             (V: 0 L: 9)
permano: 9               (V: 0 L: 9)
deorsum: 9               (V: 0 L: 9)
situs2: 9                (V: 0 L: 9)
parentes: 9              (V: 0 L: 9)
multimodis: 9            (V: 0 L: 9)
promptus1: 9             (V: 0 L: 9)
contingo2: 9             (V: 0 L: 9)
quasi2: 9                (V: 0 L: 9)
spuma: 8                 (V: 5 L: 3)
ilioneusN: 8             (V: 8 L: 0)
annitor2: 8              (V: 8 L: 0)
prorumpo: 8              (V: 5 L: 3)
poeniN: 8                (V: 6 L: 2)
germanus1: 8             (V: 8 L: 0)
peragro: 8               (V: 3 L: 5)
incuso: 8                (V: 7 L: 1)
circumfundo2: 8          (V: 7 L: 1)
aspecto: 8               (V: 7 L: 1)
fundamentum: 8           (V: 3 L: 5)
tundo: 8                 (V: 5 L: 3)
serestusN: 8             (V: 8 L: 0)
argiuusN: 8              (V: 8 L: 0)
sacratus: 8              (V: 8 L: 0)
aspiro: 8                (V: 8 L: 0)
famulus1: 8              (V: 8 L: 0)
necnon: 8                (V: 8 L: 0)
ardesco: 8               (V: 2 L: 6)
eruo: 8                  (V: 8 L: 0)
prosequor: 8             (V: 8 L: 0)
suspensus: 8             (V: 7 L: 1)
sollemnis: 8             (V: 6 L: 2)
tremefacio: 8            (V: 8 L: 0)
patefacio: 8             (V: 1 L: 7)
insulto: 8               (V: 7 L: 1)
sinistra1: 8             (V: 8 L: 0)
diuus2: 8                (V: 5 L: 3)
comprehendo: 8           (V: 5 L: 3)
nisus: 8                 (V: 3 L: 5)
dardanusN: 8             (V: 8 L: 0)
insurgo: 8               (V: 8 L: 0)
incassum: 8              (V: 3 L: 5)
mando3: 8                (V: 5 L: 3)
florens: 8               (V: 3 L: 5)
igneus: 8                (V: 6 L: 2)
dumus: 8                 (V: 8 L: 0)
irisN: 8                 (V: 8 L: 0)
caestus: 8               (V: 8 L: 0)
connitor2: 8             (V: 6 L: 2)
infio: 8                 (V: 6 L: 2)
cremo: 8                 (V: 4 L: 4)
meatus: 8                (V: 1 L: 7)
acuo: 8                  (V: 7 L: 1)
infringo: 8              (V: 5 L: 3)
denseo: 8                (V: 3 L: 5)
sustento: 8              (V: 6 L: 2)
guberno: 8               (V: 0 L: 8)
sagax: 8                 (V: 0 L: 8)
diuinitus: 8             (V: 0 L: 8)
alis: 8                  (V: 0 L: 8)
